pool,policy,trigger_gap_bps,base_fee_bps,start_concession_bps,concession_growth_bps_per_sec,max_fee_bps,recapture_pct,auction_clear_rate,mean_solver_payout_bps,n_trigger_events,lp_net_quote_token,fixed_fee_v3_recapture_pct,reprice_execution_rate,window_count
weth_usdc_3000,LP-only,10.0,5.0,10.0,0.5,500.0,99.9,1.0,10.0,1242,-3434.438564529046,52.57093093406248,1.0,31
weth_usdc_3000,execution-constrained,10.0,5.0,10.0,0.5,500.0,99.9,1.0,10.0,1242,-3434.438564529046,52.57093093406248,1.0,31
weth_usdc_3000,LP-net-with-delay-budget,10.0,5.0,10.0,0.5,500.0,99.9,1.0,10.0,1242,-3434.438564529046,52.57093093406248,1.0,31
wbtc_usdc_500,LP-only,10.0,5.0,10.0,0.5,500.0,99.90000427589928,1.0,9.999514873264872,800,-92.72389960025795,16.900078994469066,1.0,31
wbtc_usdc_500,execution-constrained,10.0,5.0,10.0,0.5,500.0,99.90000427589928,1.0,9.999514873264872,800,-92.72389960025795,16.900078994469066,1.0,31
wbtc_usdc_500,LP-net-with-delay-budget,10.0,5.0,10.0,0.5,500.0,99.90000427589928,1.0,9.999514873264872,800,-92.72389960025795,16.900078994469066,1.0,31
link_weth_3000,LP-only,10.0,5.0,10.0,0.5,500.0,99.85470354481868,1.0,14.529645518132774,3152,-2.067458541719354,24.417480603168347,1.0,31
link_weth_3000,execution-constrained,10.0,5.0,10.0,0.5,2500.0,99.9,1.0,10.0,3163,-2.095435985403847,24.417480603168347,1.0,31
link_weth_3000,LP-net-with-delay-budget,10.0,5.0,10.0,0.5,500.0,99.85470354481868,1.0,14.529645518132774,3152,-2.067458541719354,24.417480603168347,1.0,31
uni_weth_3000,LP-only,10.0,5.0,10.0,0.5,500.0,99.89520017989443,0.9995440036479708,10.479982010557489,2193,-0.10467305689607795,37.73564786993274,0.9995440036479708,31
uni_weth_3000,execution-constrained,10.0,5.0,10.0,0.5,2500.0,99.9,1.0,10.0,2209,-0.13406090566883153,37.73564786993274,1.0,31
uni_weth_3000,LP-net-with-delay-budget,10.0,5.0,10.0,0.5,500.0,99.89520017989443,0.9995440036479708,10.479982010557489,2193,-0.10467305689607795,37.73564786993274,0.9995440036479708,31
