block_number,timestamp,tx_hash,log_index,event_type,tick_lower,tick_upper,amount,amount0,amount1
23543708,1760055515,0xef850d2398768977e2d017c48362e3c761080fe8e848d684f653b69484ca4083,317,burn,199200,213060,204760633973,4839279,0
23543763,1760056175,0xdcd3c08fcdf072ddde71847e70676c2816e4ca181b574ee42dfe7419bcfcd633,94,burn,191820,193440,0,0,0
23543774,1760056319,0x6ec21f01ea0100841566155e55052d6e3fad04c1e338d474cc2c2369da318669,158,burn,191820,193440,135625079182955,420153423,66619757717530470
23543779,1760056379,0xcf15a9e876f312d24e160a0c262ac1eb1dd11adcf46d561e883caeaacaf83f44,118,burn,191460,193080,0,0,0
23543909,1760057999,0xadcf08a51d7459675aa6ce68ce7685532123538d632a2dd71fbdaa20e0e67f1d,261,burn,191160,192000,0,0,0
23543911,1760058023,0x2092e188427f53f3e6d1f806e088d3ee5a6e36def66c1fee60148a1db7bd43f3,239,burn,191160,192000,356047265975780,0,216105589287294834
23543971,1760058743,0x1b7990d5c8dbc9cb3baded115b71dc2c624fa7979ddadf3d6ee6ad9437c10a59,62,mint,192420,192480,25135729713912741888,639996197202,991919758069077125040
23543971,1760058743,0x4950791c292a0438503c7d51806b4b639685ab321f98cdf7d610c696a98c0d53,106,burn,192420,192480,25135729713912741888,640122377300,991890948362000018361
23544052,1760059727,0xe23f6c3d189d771e60215f10fdd5f4afc9b9cf4f758952122c71b1c9cdb41777,652,mint,190380,193380,690949778192150,2046195120,1033027610908396677
23544405,1760063987,0x314c675141e1abeb6594388a20151d5162894e86776f9848c85455d8097edeb1,53,mint,192000,193020,8759991530337782,15393084049,3149999990858125986
23545159,1760073059,0x3feed538a4500527c8b72531836f5a2071fed5e2e78a6d32be97008049ccb607,622,burn,191160,193380,0,0,0
23545320,1760074991,0xefae53202b7f9d8a28ad92705f6812d20861358dac63f7cc0b29991251b26037,513,burn,191340,194100,0,0,0
23545325,1760075051,0x4f4acf4199f7672a67f828b45b6ded44c6987146c3fcadd7a42ce28599802a9f,468,burn,191340,193380,0,0,0
23545368,1760075567,0x5730fc8cae636872fdbb80412093d6bc2dc05b901661b8f05f25c5b752ee354a,504,burn,191220,194940,0,0,0
