timestamp,block_number,tx_hash,log_index,price_wad,price
1760051747,23543396,0x7c69c3a1a8c84b4b0b25c6e68ec846b65854742a6c3c144594867a0586e64b2e,738,4371571318108239341440,4371.57131810823934144
1760055371,23543696,0x59bfabce5c872ec3c5f320968bcf7e86d28e7e45d1556e37351ef97681379521,423,4372730708125144083313,4372.730708125144083313
1760059007,23543993,0x97a46a74fb7448afcecf9f899bf05c59d5742cd6e14b316d06889b305d3f2938,276,4389318694910435456471,4389.318694910435456471
1760061983,23544238,0xa0b272cb44d8ada2917c5ff4f14292e94a7e2458765eeceb2689e273f6a7f66a,384,4366905746198848741876,4366.905746198848741876
1760065607,23544539,0x336b3a3a280acde20e8c3544139c813123745862bf131e32c6a5787f406fd327,57,4358267828763100059645,4358.267828763100059645
1760067047,23544659,0xaf20a91ec30dc9ea790a27b5459b74f2b2baf68694c1b59768917604ee6e2d47,1170,4380242770862451120453,4380.242770862451120453
1760068523,23544781,0x006f015f8450601dd529b324a0167ae490894a97b372b8dc80ac6323da0f2af6,386,4357196442571165616366,4357.196442571165616366
1760072147,23545083,0x839f14cd705c2b06aa1277d345842582bb39c41f0c83f034ccad77c7acd12e40,213,4345936850799861133868,4345.936850799861133868
1760075483,23545361,0xc48b4eba32d8f989c436bb313ef5b1cb81533ff75f61f4a8114f3cdade30e5c9,150,4367802922024358668646,4367.802922024358668646
1760078315,23545595,0x5a530beb3ddd474a85717c71481742f50dcdf2e2f41edd9e59e1c2725956d0f0,408,4344532965306943633652,4344.532965306943633652
