pool,floor_mode,oracle_volatility_threshold_bps,min_stale_loss_usd,median_min_stale_loss_quote,processed_windows,recapture_pct,trigger_count,clear_count,trade_count,clear_rate_pct,reprice_execution_pct,no_trade_pct,fail_closed_pct,better_windows
WETH/USDC 0.30%,usd,0.0,0.0,0.0,31,91.82345614244977,1357,1357,1393,100.0,100.0,8.964624566563652,8.964624566563652,31
WETH/USDC 0.30%,usd,0.0,0.5,0.5000696997147462,31,91.8233705990503,1331,1331,1393,100.0,100.0,8.964624566563652,8.964624566563652,31
WETH/USDC 0.30%,usd,5.0,0.5,0.5000696997147462,31,89.90174155837303,1243,1243,1393,100.0,100.0,8.964624566563652,8.964624566563652,31
WETH/USDC 0.30%,usd,25.0,0.5,0.5000696997147462,31,85.48390825415153,1010,1010,1393,100.0,100.0,8.964624566563652,8.964624566563652,31
WETH/USDC 0.30%,usd,100.0,0.5,0.5000696997147462,31,16.17993777271286,30,30,1393,100.0,100.0,8.964624566563652,8.964624566563652,1
WBTC/USDC 0.05%,usd,0.0,0.0,0.0,31,92.07014241839501,947,947,983,100.0,100.0,9.794203105310858,9.794203105310858,31
WBTC/USDC 0.05%,usd,0.0,0.5,0.5000696997147462,31,92.05986017232246,880,880,983,100.0,100.0,9.794203105310858,9.794203105310858,31
WBTC/USDC 0.05%,usd,5.0,0.5,0.5000696997147462,31,89.39404199037277,830,830,983,100.0,100.0,9.794203105310858,9.794203105310858,31
WBTC/USDC 0.05%,usd,25.0,0.5,0.5000696997147462,31,80.07008934196381,535,535,983,100.0,100.0,9.794203105310858,9.794203105310858,29
WBTC/USDC 0.05%,usd,100.0,0.5,0.5000696997147462,31,11.125190317670544,13,13,983,100.0,100.0,9.794203105310858,9.794203105310858,1
LINK/WETH 0.30%,usd,0.0,0.0,0.0,31,99.91806808822207,3467,3467,3485,100.0,100.0,0.0,0.0,31
LINK/WETH 0.30%,usd,0.0,0.5,0.00012403316150606027,31,99.91799215889877,3418,3418,3485,100.0,100.0,0.0,0.0,31
LINK/WETH 0.30%,usd,5.0,0.5,0.00012403316150606027,31,99.7896179267158,3320,3320,3485,100.0,100.0,0.0,0.0,31
LINK/WETH 0.30%,usd,25.0,0.5,0.00012403316150606027,31,99.08623009019344,2959,2959,3485,100.0,100.0,0.0,0.0,31
LINK/WETH 0.30%,usd,100.0,0.5,0.00012403316150606027,31,56.5857197379263,75,75,3485,100.0,100.0,0.0,0.0,1
UNI/WETH 0.30%,usd,0.0,0.0,0.0,31,99.83403235290201,2412,2412,2431,100.0,100.0,0.0,0.0,31
UNI/WETH 0.30%,usd,0.0,0.5,0.00012453486228934928,31,99.8306874129415,2311,2311,2431,100.0,100.0,0.0,0.0,31
UNI/WETH 0.30%,usd,5.0,0.5,0.00012453486228934928,31,99.77646607010725,2278,2278,2431,100.0,100.0,0.0,0.0,31
UNI/WETH 0.30%,usd,25.0,0.5,0.00012453486228934928,31,98.33506735478292,1902,1902,2431,100.0,100.0,0.0,0.0,31
UNI/WETH 0.30%,usd,100.0,0.5,0.00012453486228934928,31,62.19946753154569,454,454,2431,100.0,100.0,0.0,0.0,27
